id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
497,Banished Knight Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/banished_knight_gauntlets_elden_ring_wiki_guide_200px.png,"Thick, full set of armor covering the entire body.These gauntlets were worn by knights who, whether by misfortune or misdeed, were forced to abandon their homes.These fierce warriors were each and all accomplished. Perhaps that is why, despite their territorial losses, they were still named knights.",gauntlets,"[{'Phy': '4.7', 'VS Str': '3.7', 'VS Sla': '4.9', 'VS Pie': '4.4', 'Mag': '3.3', 'Fir': '3.3', 'Lit': '3.2', 'Hol': '3.3'}]","[{'Imm.': '20', 'Rob.': '28', 'Foc.': '13', 'Vit.': '14', 'Poi.': '7'}]",5.8,,Dropped from the Banished Knights in Stormveil Castle.,9,0
498,Battlemage Manchettes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/battlemage_manchettes_elden_ring_wiki_guide_200px.png,"Manchettes worn by scholars of the Raya Lucaria Academy, tattered from being worn on the battlefield.",gauntlets,"[{'Phy': '1.0', 'VS Str': '1.3', 'VS Sla': '0.6', 'VS Pie': '1.0', 'Mag': '3.2', 'Fir': '2.8', 'Lit': '2.9', 'Hol': '3.1'}]","[{'Imm.': '13', 'Rob.': '7', 'Foc.': '20', 'Vit.': '22', 'Poi.': '2'}]",1.1,,"This piece is dropped by Battlemage enemies.The entire Battlemage Set drops from a particular Battlemage enemy, located east of West Windmill Pasture, on a hill near the northern end of the collapsed bridge. Elden Ring Map Link.",2,0
499,Beast Champion Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/beast_champion_gauntlets_elden_ring_wiki_guide_200px.png,"Silver gauntlets engraved with tiny beasts.Worn by Bernahl the Recusant.Beasts are drawn to champions, and to lords. And this armor befits a champion worthy of becoming a lord. And that is what Bernahl was.Until his maiden threw herself into the fire.",gauntlets,"[{'Phy': '4.4', 'VS Str': '4.1', 'VS Sla': '4.7', 'VS Pie': '4.6', 'Mag': '3.2', 'Fir': '3.4', 'Lit': '3.2', 'Hol': '3.3'}]","[{'Imm.': '19', 'Rob.': '30', 'Foc.': '14', 'Vit.': '13', 'Poi.': '7'}]",5.8,,"Drops from Knight Bernahl upon death. If not killed before, he will eventually invade you at Crumbling Farum Azula, dropping the entire set with an altered version of the chest piece.Elden Ring Map here.",9,0
500,Black Knife Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_knife_gauntlets_elden_ring_wiki_guide_200px.png,"Gauntlets used by the Black Knife Assassins. Crafted with scale armor that makes no sound. The assassins that carried out the deeds of the Night of the Black Knives were all women, and rumored to be Numen who had close ties with Marika herself.",gauntlets,"[{'Phy': '2.8', 'VS Str': '2.7', 'VS Sla': '3.1', 'VS Pie': '3.1', 'Mag': '2.1', 'Fir': '2.3', 'Lit': '1.6', 'Hol': '2.8'}]","[{'Imm.': '9', 'Rob.': '15', 'Foc.': '8', 'Vit.': '8', 'Poi.': '4'}]",3.1,,"Can be found on a corpse under an archway behind Ordina, Liturgical Town in Consecrated Grounds. Elden Ring Map here",6,0
501,Blackflame Monk Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blackflame_monk_gauntlets_elden_ring_wiki_guide_200px.png,"Black iron gauntlets featuring a flame motif.Attire of the Blackflame Monks.The Blackflame Monks, enthralled by the god-slaying black flame, became traitors, abandoning their posts as guardians. The seduction of a taboo is never easily spurned.",gauntlets,"[{'Phy': '3.3', 'VS Str': '2.8', 'VS Sla': '3.6', 'VS Pie': '3.2', 'Mag': '2.5', 'Fir': '3.2', 'Lit': '1.9', 'Hol': '2.5'}]","[{'Imm.': '11', 'Rob.': '18', 'Foc.': '7', 'Vit.': '11', 'Poi.': '5'}]",3.9,,Drop from Blackflame monks.,6,0
502,Blaidd's Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blaidds_gauntlets_elden_ring_wiki_guide_200px.png,"Well-worn black gauntlets of the man-wolf Blaidd.Blaidd, who served as Ranni's shadow, was a loyal ally who would defy destiny itself if it would have him turn upon his Lady.",gauntlets,"[{'Phy': '3.6', 'VS Str': '3.2', 'VS Sla': '3.6', 'VS Pie': '3.8', 'Mag': '2.8', 'Fir': '3.2', 'Lit': '2.7', 'Hol': '2.9'}]","[{'Imm.': '13', 'Rob.': '21', 'Foc.': '8', 'Vit.': '8', 'Poi.': '6'}]",4.6,,"Following Ranni's questline, after she is given the Dark Moon Ring, return to Ranni's Rise and you will hear Blaidd talking to himself in front of the tower. When he finishes his dialogue he will turn hostile, and defeating him will grant the player Blaidd's Armor, Blaidd's Gauntlets, and Blaidd's Greaves (as well as the Royal Greatsword).Elden Ring Map here",8,0
503,Bloodhound Knight Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodhound_knight_gauntlets_elden_ring_wiki_guide_200px.png,"Metal gauntlets of the Bloodhound Knights. The Bloodhound Knights are trained as hunters and known to be unshakable trackers. Without the use of language, each knight chooses his own master. Once the decision has been made the knight stays loyal for life.",gauntlets,"[{'Phy': '3.1', 'VS Str': '2.8', 'VS Sla': '3.5', 'VS Pie': '3.3', 'Mag': '2.3', 'Fir': '2.5', 'Lit': '1.7', 'Hol': '2.5'}]","[{'Imm.': '11', 'Rob.': '17', 'Foc.': '8', 'Vit.': '8', 'Poi.': '4'}]",3.5,,Drops in Gelmir Hero's Grave - Mt. Gelmir.Elden Ring Interactive Map Link,7,0
504,Bloodsoaked Manchettes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodsoaked_manchettes_elden_ring_wiki_guide_200px.png,Manchettes formed from tightly-wound bandages soaked through with blood. Any protection is welcome for the festering arms beneath.,gauntlets,"[{'Phy': '1.3', 'VS Str': '1.5', 'VS Sla': '1.0', 'VS Pie': '0.6', 'Mag': '3.1', 'Fir': '3.1', 'Lit': '3.1', 'Hol': '3.1'}]","[{'Imm.': '14', 'Rob.': '9', 'Foc.': '24', 'Vit.': '22', 'Poi.': '2'}]",1.4,,Looted from a corpse in the Subterranean Shunning-Grounds near the Underground Roadside site of grace.Elden Ring Map here,1,0
505,Blue Silver Bracelets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blue_silver_bracelets_elden_ring_wiki_guide_200px.png,"Bracelets crafted with blue silver.Worn by the wolf-riding Albinauric archers.Blue silver is a metal born from the same mother as the archers themselves, and provides protection from magic and frost.",gauntlets,"[{'Phy': '2.3', 'VS Str': '1.5', 'VS Sla': '2.5', 'VS Pie': '1.9', 'Mag': '1.9', 'Fir': '1.6', 'Lit': '1.0', 'Hol': '1.0'}]","[{'Imm.': '4', 'Rob.': '14', 'Foc.': '4', 'Vit.': '4', 'Poi.': '3'}]",2.1,,"Albinauric Wolfback Archers found in the Consecrated Snowfield, as well as the Ordina Gaol, drop the Blue Silver Set pieces.One that is easily farmed can be found shortly north of the Consecrated Snowfield site of grace.",6,0
506,Brave's Bracer,http://eldenring.wiki.fextralife.com/file/Elden-Ring/braves_bracer_elden_ring_wiki_guide_200px.png,Gauntlets wrapped in thick leather. Garb worn by warriors of the frigid uplands. Has a fur lining which excels at keeping the cold at bay.,gauntlets,"[{'Phy': '0.6', 'VS Str': '0.6', 'VS Sla': '0.6', 'VS Pie': '0.1', 'Mag': '3.1', 'Fir': '2.8', 'Lit': '2.9', 'Hol': '3.1'}]","[{'Imm.': '12', 'Rob.': '6', 'Foc.': '20', 'Vit.': '20', 'Poi.': '1'}]",0.8,,The Brave's Bracer Armor Gauntlets piece is currently unobtainable.,0,0
507,Briar Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/briar_gauntlets_elden_ring_wiki_guide_200px.png,"Battered iron gauntlets from a foreign land.Worn by Elemer of the Briar. The winding, rusted iron briars are a mark of the guilty and typically indicate a sentence of death. They also cause this armor to deal damage when performing dodge rolls.Elemer murderd numerous instructors and merchants, and was known as the Bell Bearing Hunter.",gauntlets,"[{'Phy': '3.2', 'VS Str': '2.8', 'VS Sla': '3.3', 'VS Pie': '3.1', 'Mag': '2.7', 'Fir': '3.1', 'Lit': '2.1', 'Hol': '2.7'}]","[{'Imm.': '12', 'Rob.': '24', 'Foc.': '8', 'Vit.': '8', 'Poi.': '5'}]",3.9,,Purchased from the Palm Reader in Roundtable Hold after defeating Elemer of the Briar in The Shaded Castle.,8,0
508,Bull-Goat Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bull-goat_gauntlets_elden_ring_wiki_guide_200px.png,"Great Horned Tragoth's gauntlets. Covers its wearer with a pair of giant horns, providing staunch poise. Tragoth is a famed knight of assistance. Countless Tarnished, facing adversity in the Lands Between, have survived thanks only to the Great Horned One's aid.",gauntlets,"[{'Phy': '5.2', 'VS Str': '5.2', 'VS Sla': '4.6', 'VS Pie': '4.6', 'Mag': '3.3', 'Fir': '3.3', 'Lit': '3.7', 'Hol': '3.2'}]","[{'Imm.': '24', 'Rob.': '28', 'Foc.': '15', 'Vit.': '18', 'Poi.': '10'}]",8.8,,"Can be found after killing Patches' assassination target for the Volcano Manor, Great Horned Tragoth.Elden Ring Map here",10,0
509,Carian Knight Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/carian_knight_gauntlets_elden_ring_wiki_guide_200px.png,"Gauntlets of the enchanted knights that once served the Carian royal family.The enchanted knights, anointed by the Lunar Queen, were heroes of the highest honors, but fell into disarray with the decline of the royal family.",gauntlets,"[{'Phy': '2.9', 'VS Str': '2.7', 'VS Sla': '3.1', 'VS Pie': '2.9', 'Mag': '3.1', 'Fir': '2.9', 'Lit': '2.3', 'Hol': '2.9'}]","[{'Imm.': '9', 'Rob.': '15', 'Foc.': '7', 'Vit.': '8', 'Poi.': '4'}]",3.5,,"You can find the Carian Knight Set in Raya Lucaria Academy.Elden Ring Map hereTo find the Carian Knight Set, you will need to fast travel back to the Church of the Cuckoo site and head to the graveyard section, specifically where the large rotating lift is. On the right side of the gate's entrance, look down as you are hugging the wall to find a platform that you can drop to. Walk on the narrow path and you'll notice a group of Glintstone Zombies worshipping a statue, simply kill the enemies and pick up the glowing item next to the statue to receive the set.",7,0
510,Champion Bracers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/champion_bracers_elden_ring_wiki_guide_200px.png,"Bracers reserved for the bandlands' bravest. Proof that the wearer has slaughtered countless foes. Following the example of their chieftain Hoarah Loux, the brave warriors of the badlands shun excess adornment.",gauntlets,"[{'Phy': '1.6', 'VS Str': '2.1', 'VS Sla': '1.7', 'VS Pie': '1.9', 'Mag': '1.9', 'Fir': '2.3', 'Lit': '2.5', 'Hol': '2.3'}]","[{'Imm.': '17', 'Rob.': '11', 'Foc.': '14', 'Vit.': '13', 'Poi.': '3'}]",2.1,,"Starting Equipment for the Hero Class.Can be purchased from the Nomadic Merchant in south Caelid for 1,000 Runes.Elden Ring Map here",5,0
511,Cleanrot Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cleanrot_gauntlets_elden_ring_wiki_guide_200px.png,"Gauntlets of the Cleanrot Knights, celebrated for their undefeated campaign in the Shattering.The Cleanrot Knights vowed to fight alongside Malenia, despite the inevitable, if gradual, putrefaction of their flesh. Their acceptance of their fate made these battles fiercest of all.",gauntlets,"[{'Phy': '3.6', 'VS Str': '3.3', 'VS Sla': '4.0', 'VS Pie': '4.4', 'Mag': '3.1', 'Fir': '3.2', 'Lit': '2.8', 'Hol': '3.3'}]","[{'Imm.': '21', 'Rob.': '22', 'Foc.': '9', 'Vit.': '11', 'Poi.': '6'}]",5.0,,"Drops from non-boss versions of Cleanrot Knights, found at Inner Aeonia and Elphael, Brace of the Haligtree.",7,0
512,Confessor Gloves,http://eldenring.wiki.fextralife.com/file/Elden-Ring/confessor_gloves_elden_ring_wiki_guide_200px.png,"Black leather gloves of the church confessors. The churches outside the Lands Between, dedicated to the teachings of the Two Fingers, send confessors out to follow the guidance of grace. The confessors are loyal servants to the Two Fingers, ready to hunt down and quietly dispose of their enemies.",gauntlets,"[{'Phy': '2.1', 'VS Str': '2.7', 'VS Sla': '2.1', 'VS Pie': '2.3', 'Mag': '2.8', 'Fir': '2.8', 'Lit': '3.1', 'Hol': '2.5'}]","[{'Imm.': '21', 'Rob.': '17', 'Foc.': '17', 'Vit.': '18', 'Poi.': '3'}]",2.8,,Starting Equipment for the Confessor Class.Can be purchased from the Nomadic Merchant in Mt. Gelmir for 1000 Runes.Elden Ring Map here,4,0
513,Crucible Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/crucible_gauntlets_elden_ring_wiki_guide_200px.png,"Gauntlets of the Crucible Knights who served Godfrey, the first Elden Lord.Hold the power of the crucible of life, the primordial form of the Erdtree. Strengthen Aspects of the Crucible incantations.In time, the strength shown by these knights, and even their appearance, was seen as chaotic and deserving of scorn.",gauntlets,"[{'Phy': '4.4', 'VS Str': '3.4', 'VS Sla': '4.2', 'VS Pie': '4.2', 'Mag': '3.2', 'Fir': '3.2', 'Lit': '2.8', 'Hol': '3.3'}]","[{'Imm.': '17', 'Rob.': '24', 'Foc.': '12', 'Vit.': '12', 'Poi.': '7'}]",5.2,Strengthen Aspects of the Crucible incantations.,"Dropped by Crucible Knight Ordovis, located at Auriza Hero's Grave.Elden Ring Map hereFound with the Crucible Tree Set in a chest within Deeproot Depths behind a mini-boss: Crucible Knight Siluria.Elden Ring Map here",9,0
514,Cuckoo Knight Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/cuckoo_knight_gauntlets_elden_ring_wiki_guide_200px.png,Gauntlets worn by Raya Lucaria Academy knights.Time has yet to dull their luster.,gauntlets,"[{'Phy': '3.3', 'VS Str': '2.8', 'VS Sla': '3.6', 'VS Pie': '3.3', 'Mag': '3.1', 'Fir': '2.9', 'Lit': '2.1', 'Hol': '2.5'}]","[{'Imm.': '11', 'Rob.': '19', 'Foc.': '8', 'Vit.': '8', 'Poi.': '5'}]",3.9,,"Dropped from Raya Lucaria Academy Knights, also referred to as Cuckoo Knights. There are three nearby to the East Raya Lucaria Gate site of grace.",7,0
515,Depraved Perfumer Gloves,http://eldenring.wiki.fextralife.com/file/Elden-Ring/depraved_perfumer_gloves_elden_ring_wiki_guide_200px.png,Gloves worn by depraved perfumers.These heresy-inclined perfumers imbibe their own spices to alter body and mind. Their slow descent into self-destruction is what earned them their name.,gauntlets,"[{'Phy': '1.5', 'VS Str': '1.5', 'VS Sla': '1.4', 'VS Pie': '1.2', 'Mag': '3.2', 'Fir': '3.1', 'Lit': '3.1', 'Hol': '3.1'}]","[{'Imm.': '23', 'Rob.': '8', 'Foc.': '20', 'Vit.': '28', 'Poi.': '2'}]",2.0,,The Depraved Perfumer Set pieces can be farmed from the Depraved Perfumer enemies located around The Shaded Castle,3,0
516,Drake Knight Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/drake_knight_gauntlets_elden_ring_wiki_guide_200px.png,"Black iron gauntlets worn by drake knights.Features the spoils of a dragon catch as an emblem of pride as both dragon hunter and partaker of communion.From birth, drake knights speak not a word. They spend their lives pursuing the strength of dragons, for its sublime beauty and inspiration of awe",gauntlets,"[{'Phy': '2.8', 'VS Str': '2.3', 'VS Sla': '2.9', 'VS Pie': '2.8', 'Mag': '2.5', 'Fir': '2.8', 'Lit': '2.1', 'Hol': '2.5'}]","[{'Imm.': '8', 'Rob.': '15', 'Foc.': '7', 'Vit.': '7', 'Poi.': '4'}]",3.1,,You can find the Drake Knight Set in Crumbling Farum Azula.Elden Ring Map hereTravel to the Beside The Great Bridge site of grace and go in the opposite direction of the boss room. Go through the building and outside onto the balcony. From here drop down to the Beastman with the big cleaver. Go along the bridge and call up the elevator. Ride the Elevator down and go Outside. The Drake Knight Set is on the left in a big chest.,8,0
517,Eccentric's Manchettes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/eccentrics_manchettes_elden_ring_wiki_guide_200px.png,"The knight Jerren's manchettes. Jerren preferred a nomadic existence, but after spending time as a guest of the Carian royals, he became the guest commander for General Radahn. And for the first time, the restless tumbleweed would be bound by honorable oath.",gauntlets,"[{'Phy': '2.9', 'VS Str': '2.1', 'VS Sla': '2.8', 'VS Pie': '2.9', 'Mag': '2.1', 'Fir': '2.3', 'Lit': '1.5', 'Hol': '1.9'}]","[{'Imm.': '8', 'Rob.': '18', 'Foc.': '6', 'Vit.': '4', 'Poi.': '4'}]",2.9,,This armor piece is obtained as part of a set after the defeat of Witch-Hunter Jerren. This could be done as part of Sorceress Sellen's questline. Players will be given the option to side with Sellen or Jerren in Raya Lucaria Academy.Elden Ring Map here,6,0
518,Elden Lord Bracers,http://eldenring.wiki.fextralife.com/file/Elden-Ring/elden_lord_bracers_elden_ring_wiki_guide_200px.png,"Bracers of Godfrey the first Elden Lord.The age of the Erdtree began amongst conflict, when Godfrey was lord of the battlefield.He led the War against the Giants. Faced the Storm Lord, alone. And then, there came a moment. When his last worthy enemy fell. And it was then, as the story is told, that the hue of Lord Godfrey's eyes faded.",gauntlets,"[{'Phy': '2.9', 'VS Str': '2.7', 'VS Sla': '2.8', 'VS Pie': '3.1', 'Mag': '2.1', 'Fir': '2.8', 'Lit': '1.7', 'Hol': '1.9'}]","[{'Imm.': '11', 'Rob.': '18', 'Foc.': '6', 'Vit.': '7', 'Poi.': '4'}]",3.1,,"Available from Enia after defeating Godfrey, First Elden Lord and Hoarah Loux, Warrior.",6,0
519,Errant Sorcerer Manchettes,http://eldenring.wiki.fextralife.com/file/Elden-Ring/errant_sorcerer_manchettes_elden_ring_wiki_guide_200px.png,Commonplace leather manchettes.Their hands are inlaid with dulled glintstone.,gauntlets,"[{'Phy': '0.6', 'VS Str': '0.6', 'VS Sla': '1.3', 'VS Pie': '0.6', 'Mag': '3.2', 'Fir': '3.1', 'Lit': '2.9', 'Hol': '3.2'}]","[{'Imm.': '11', 'Rob.': '7', 'Foc.': '21', 'Vit.': '22', 'Poi.': '1'}]",1.1,,"Looted off a corpse in Hermit Village, Mt. Gelmir. The corpse is found in a house in the northeast corner of the village.Elden Ring Map here",2,0
520,Exile Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/exile_gauntlets_elden_ring_wiki_guide_200px.png,Damaged iron gauntlets. Worn by soldiers sent to the penal colonies.,gauntlets,"[{'Phy': '2.9', 'VS Str': '2.1', 'VS Sla': '3.1', 'VS Pie': '2.9', 'Mag': '1.7', 'Fir': '2.5', 'Lit': '1.5', 'Hol': '2.1'}]","[{'Imm.': '8', 'Rob.': '17', 'Foc.': '6', 'Vit.': '4', 'Poi.': '4'}]",2.9,,Drop from Exile Soldiers.,6,0
521,Fingerprint Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fingerprint_gauntlets_elden_ring_wiki_guide_200px.png,"Iron gauntlets singed and blistered by fingers. Worn by Vyke, knight of the Roundtable Hold. No other Tarnished was closer to the throne of the Elden Lord than Vyke. But without announcement, Vyke traveled far below the capital, and was scorched by the flame of frenzy. Did he make his choice for his maiden, or did some other force lure him with suggestion?",gauntlets,"[{'Phy': '3.3', 'VS Str': '2.9', 'VS Sla': '2.9', 'VS Pie': '2.9', 'Mag': '2.3', 'Fir': '3.1', 'Lit': '1.6', 'Hol': '2.3'}]","[{'Imm.': '11', 'Rob.': '20', 'Foc.': '4', 'Vit.': '8', 'Poi.': '5'}]",3.5,,Lord Contender's Evergaol: Dropped by Roundtable Knight Vyke upon defeat. Elden Ring Map here,8,0
522,Fire Monk Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_monk_gauntlets_elden_ring_wiki_guide_200px.png,"Black iron gauntlets featuring a flame motif. Attire of the Fire Monks. The Fire Monks are guardians of the flame of ruin, forbidden by the Erdtree and said to be kept high in the Mountaintops of the Giants.",gauntlets,"[{'Phy': '3.5', 'VS Str': '3.1', 'VS Sla': '3.3', 'VS Pie': '3.1', 'Mag': '2.7', 'Fir': '3.3', 'Lit': '2.3', 'Hol': '2.3'}]","[{'Imm.': '11', 'Rob.': '18', 'Foc.': '8', 'Vit.': '8', 'Poi.': '5'}]",3.9,,"Dropped by Fire Monks found in camps in western Liurnia of the Lakes, around Fort Laiedd in Mt. Gelmir, and around Guardians' Garrison in the Mountaintop of the Giants.",6,0
523,Fire Prelate Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_prelate_gauntlets_elden_ring_wiki_guide_200px.png,"Black iron gauntlets with the appearance of flames.Attire of the Fire Prelates, commanders of the Fire Monks.The weighty frames of the Prelates symbolized the onus of their grave vows as guardians of the flame. ""Etch this sight upon thine breast. Of my thunderous gravity.""",gauntlets,"[{'Phy': '4.9', 'VS Str': '4.3', 'VS Sla': '4.6', 'VS Pie': '4.6', 'Mag': '3.3', 'Fir': '5.0', 'Lit': '3.2', 'Hol': '3.3'}]","[{'Imm.': '22', 'Rob.': '21', 'Foc.': '30', 'Vit.': '17', 'Poi.': '10'}]",8.2,,Dropped by Fire Prelates.One can be found in Fort Laiedd in Mt. Gelmir.One is in Guardians' Garrison in Mountaintop of the Giants.,10,0
524,Foot Soldier Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/foot_soldier_gauntlets_elden_ring_wiki_guide_200px.png,Metal gauntlets covered in nicks and dents. Widely issued to foot soldiers in a lord's army.,gauntlets,"[{'Phy': '2.1', 'VS Str': '2.3', 'VS Sla': '2.1', 'VS Pie': '2.1', 'Mag': '2.5', 'Fir': '2.7', 'Lit': '2.8', 'Hol': '2.5'}]","[{'Imm.': '20', 'Rob.': '13', 'Foc.': '17', 'Vit.': '17', 'Poi.': '3'}]",2.6,,Dropped by Foot Soldier-type Soldier enemies. Defeat a Foot Soldier to gain a chance to obtain this item. Foot Soldiers can be found protecting the Purified Ruins.,5,0
525,Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/chain_gauntlets_elden_ring_wiki_guide_200px.png,"Gauntlets worn by ordinary soldiers.Though plain in appearance, they offer dependable protection.",gauntlets,"[{'Phy': '2.9', 'VS Str': '2.1', 'VS Sla': '3.2', 'VS Pie': '2.9', 'Mag': '1.7', 'Fir': '2.7', 'Lit': '1.5', 'Hol': '1.9'}]","[{'Imm.': '8', 'Rob.': '14', 'Foc.': '4', 'Vit.': '6', 'Poi.': '4'}]",2.9,,"Can be found at Church of Elleh, purchased from Merchant Kale. It costs 1000 Runes.Elden Ring Map here",6,0
526,Gelmir Knight Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gelmir_knight_gauntlets_elden_ring_wiki_guide_200px.png,Gauntlets worn by knights once loyal to Praetor Rykard. Time has yet to dull their luster.,gauntlets,"[{'Phy': '3.3', 'VS Str': '2.8', 'VS Sla': '3.5', 'VS Pie': '3.3', 'Mag': '2.7', 'Fir': '3.1', 'Lit': '2.5', 'Hol': '2.7'}]","[{'Imm.': '12', 'Rob.': '18', 'Foc.': '8', 'Vit.': '8', 'Poi.': '5'}]",3.9,,You can loot the entire Gelmir Knight Set in the Gelmir Hero's Grave dungeon from a Gelmir Knight corpse.Elden Ring Map here.,7,0
527,Godrick Knight Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godrick_knight_gauntlets_elden_ring_wiki_guide_200px.png,Gauntlets worn by knights loyal to Godrick the Grafted. Time has yet to dull their luster.,gauntlets,"[{'Phy': '3.3', 'VS Str': '2.9', 'VS Sla': '3.5', 'VS Pie': '3.2', 'Mag': '2.7', 'Fir': '2.9', 'Lit': '2.3', 'Hol': '2.7'}]","[{'Imm.': '12', 'Rob.': '19', 'Foc.': '8', 'Vit.': '8', 'Poi.': '5'}]",3.9,,Fort Haight.: Chance to drop from the Godrick Knight atop the fort walls.,6,0
528,Godrick Soldier Gauntlets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godrick_soldier_gauntlets_elden_ring_wiki_guide_200px.png,Gauntlets worn by soldiers loyal to Godrick the Grafted.Rust-worn and stained through unending conflict.,gauntlets,"[{'Phy': '3.2', 'VS Str': '2.8', 'VS Sla': '3.2', 'VS Pie': '3.1', 'Mag': '2.5', 'Fir': '2.7', 'Lit': '1.9', 'Hol': '2.3'}]","[{'Imm.': '11', 'Rob.': '18', 'Foc.': '8', 'Vit.': '8', 'Poi.': '5'}]",3.5,,"Gatefront Ruins, dropped by Godrick Soldiers patrolling the outpost.",6,0
529,Godskin Apostle Bracelets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godskin_apostle_bracelets_elden_ring_wiki_guide_200px.png,"Black bracelets of the Godskin Apostles.The apostles, once said to serve Destined Death, are wielders of the god-slaying black flame. But after their defeat by Maliketh, the Black Blade, the source of their power was sealed away.",gauntlets,"[{'Phy': '1.7', 'VS Str': '1.6', 'VS Sla': '1.6', 'VS Pie': '1.3', 'Mag': '3.2', 'Fir': '3.1', 'Lit': '3.2', 'Hol': '3.6'}]","[{'Imm.': '17', 'Rob.': '8', 'Foc.': '28', 'Vit.': '25', 'Poi.': '3'}]",2.1,,"Defeating Godskin Apostle, located at the bottom of Divine Tower of Caelid.Elden Ring Map here",3,0
530,Godskin Noble Bracelets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/godskin_noble_bracelets_elden_ring_wiki_guide_200px.png,"Black bracelets of the Godskin Nobles. Nobles are the most ancient apostles who are said to have assimilated inhuman physiology. Not unlike the crucible, the Erdtree in its primordial form.",gauntlets,"[{'Phy': '1.3', 'VS Str': '2.1', 'VS Sla': '1.5', 'VS Pie': '1.3', 'Mag': '3.2', 'Fir': '2.9', 'Lit': '3.1', 'Hol': '3.4'}]","[{'Imm.': '14', 'Rob.': '8', 'Foc.': '24', 'Vit.': '25', 'Poi.': '3'}]",1.7,,Dropped by Godskin Noble Bossfight.Elden Ring Map here.,3,0
531,Gold Bracelets,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gold_bracelets_elden_ring_wiki_guide_200px.png,Bracelets made in the image of Erdtree branches.Minimal adornments made by Lord Goldmask's disciples.Those disciples have long since left him.,gauntlets,"[{'Phy': '1.0', 'VS Str': '0.6', 'VS Sla': '0.6', 'VS Pie': '0.1', 'Mag': '2.9', 'Fir': '2.8', 'Lit': '2.9', 'Hol': '3.2'}]","[{'Imm.': '13', 'Rob.': '4', 'Foc.': '20', 'Vit.': '20', 'Poi.': '1'}]",0.8,,"Gold Bracelets can be found on Goldmask's body after the completion of Brother Corhyn's questline. Head south from the Capital of Ash site of grace and go down the small path in the direction of the colosseum. Go past the plant enemies and stick to the left and you will find Goldmask. Look the rune from him, and reset the area and return to find the rest of his set on his body.Elden Ring Map here",2,0
532,Golden Prosthetic,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_prosthetic_elden_ring_wiki_guide_200px.png,Golden prosthetic forged using ancient techniques,gauntlets,"[{'Phy': '1.5', 'VS Str': '1.5', 'VS Sla': '1.5', 'VS Pie': '1.3', 'Mag': '3.2', 'Fir': '3.1', 'Lit': '3.2', 'Hol': '3.2'}]","[{'Imm.': '15', 'Rob.': '8', 'Foc.': '25', 'Vit.': '25', 'Poi.': '2'}]",2.8,,Currently Unobtainable.,0,0
